words,definition,pos_tag,freq_of_use
menerusi,[me.ne.ru.si]  Definisi :1. masuk sampai ke melantas pd menembus pd: jahitan yg awal dan yg akhir sahaja yg ~ kain yg lain itu lalu di bawah urat benang sahaja 2. dgn perantaraan melalui: masukkan sehelai benang halus ~ lubang-lubang pd kertas tebal itu dia mengirim buku-buku itu ~ sayaKamus Dewan Edisi Keempat[me.ne.ru.si]  Definisi :dgn perantaraan melalui: Pencuri masuk ke dlm rumah itu ~ tingkap. Dia mengirim wang itu ~ kawannya.Kamus Pelajar Edisi Kedua,adverba,Low
menerusi,[me.ne.ru.si]  Definisi :1. masuk sampai ke melantas pd menembus pd: jahitan yg awal dan yg akhir sahaja yg ~ kain yg lain itu lalu di bawah urat benang sahaja 2. dgn perantaraan melalui: masukkan sehelai benang halus ~ lubang-lubang pd kertas tebal itu dia mengirim buku-buku itu ~ sayaKamus Dewan Edisi Keempat[me.ne.ru.si]  Definisi :dgn perantaraan melalui: Pencuri masuk ke dlm rumah itu ~ tingkap. Dia mengirim wang itu ~ kawannya.Kamus Pelajar Edisi Kedua,adjektif,Moderate
kemakmuran,[ke.maÖmu.ran][ke.ma.mu.ran]  Definisi :perihal makmur mewah serba cukup sejahtera dll: ~ sesebuah negeri bergantung terutama sekali pd kerajinan penduduk-penduduk negeri ituKamus Dewan Edisi Keempat[ke.maÖmu.ran][ke.ma.mu.ran]  Definisi :keadaan makmur: ~ sesebuah negeri bergantung pd kerajinan penduduk-penduduknya sendiri.Kamus Pelajar Edisi Kedua,adjektif,Moderate
sorotan,[so.ro.tan]  Definisi :1. pancaran cahaya sinaran: ~ lampu kereta menyilaukan mata mereka 2. ki huraian sesuatu perkara pembicaraan: ia cuba membuat analisa atau ~ cerpen ituKamus Dewan Edisi Keempat[so.ro.tan]  Definisi :1 pancaran atau sinaran cahaya dsb: ~ beberapa buah lampu menjadikan kawasan rumahnya terang benderang. 2 ki huraian atau pembicaraan ttg sesuatu perkara.Kamus Pelajar Edisi Kedua,-,-
melonjak,[me.lon.ja]  Definisi :1. melompat ke atas dgn keduadua belah kaki utk mencapai sesuatu: ia ~ hendak memetik buah itu 2. melambung bola dll: raksa dlm buli-buli itu akan mengembang dan ~ keluar ke dlm batang jangka suhu 3. ki bercakap sombong menyombong cakap ~ cakap besar meninggi 4. ki bertambah tinggi dll: pd masa kekasihnya tiba itu perasaan gembiranya ~ melompat naik meningkat naik dgn tiba-tiba harga dll: harga getah ~ naik kerana bekalan getah sangat kurang dr kerani dia ~ jadi pegawai daerah harap hendak ~ kopiah pesuk prb kerana hendak hidup mewah habis terjual harta bendaKamus Dewan Edisi Keempat[me.lon.ja]  Definisi :1 melompat ke atas dgn kedua-dua belah kaki utk mencapai sesuatu: Ia ~ hendak mencapai bungkusan yg di atas para itu. 2 melambung bkn bola: Bola getah itu ~ apabila dicampakkan ke tanah. 3 meningkat naik atau melompat naik dgn tiba-tiba bkn harga: Harga gula ~ dr 20 sen hingga 40 sen sekati.Kamus Pelajar Edisi Kedua,-,-
ekonomi,[é.ko.no.mi]  Definisi :ékonomi 1. ilmu bkn pengeluaran pengagihan penggunaan barang-barang dan perkhidmatan: beberapa orang penuntut ~ sedang membantu Kementerian Buruh menyelidiki keadaan pengangguran sekarang ini ahli ~ orang yg pakar dlm bidang ekonomi 2. sistem pengeKamus Dewan Edisi Keempat[é.ko.no.mi]  Definisi :ékonomi 1 ilmu ttg asas-asas pengeluaran pembahagian penggunaan barang-barang dan perkhidmatan serta masalah-masalah kewangan kemasyarakatan dll yg bersangkutan dgnnya. 2 keadaan kekayaan atau kebendaan sesebuah negara dll: Kedudukan ~ negara semakin kukuh. 3 urusan ttg perkara-perkara rumah tangga spt perbelanjaan penggunaan barang-barang. 4 tidak boros hemat. ~ campuran sistem ekonomi yg sebahagian sumbernya dikawal oleh sektor awam dan sebahagian lagi dikawal oleh sektor swasta. ~ terbuka ekonomi yg melibatkan perdagangan sesebuah negara dgn negara yg lain. ~ tertutup ekonomi yg tidak melibatkan perdagangan antarabangsa iaitu tidak wujud aktiviti import dan eksport barangan atau bahan pengeluaran. berekonomi 1 menjalankan sesuatu usaha menurut ilmu ekonomi. 2 bercermat atau berhati-hati dlm menggunakan wang berhemat. mengekonomikan membelanjakan wang dgn hati-hati menghematkan: Utk tujuan ini beliau telah ~ segala perbelanjaan seberapa yg dpt. perekonomian hal-hal atau kegiatan-kegiatan ekonomi.Kamus Pelajar Edisi Kedua,-,-
melimpah,[me.lim.pah]  Definisi :1. tumpah keluar kerana terlalu banyak atau terlalu penuh cecair dll: darah pun spt sebak penuh ~ di dlm kota Singapura itu 2.  melimpah-limpah ki terlalu banyak hingga berlebih-lebih atau tidak termuat banyak sekali: dlm pertengahan kedua abad ke-18 bangsa asing telah datang melimpah-limpah ke Tanah Melayu 3. ki turun kpd datang kpd diwarisi oleh anak tentang perangai dll: hanya sisa-sisanya yg jatuh ke tangan orang kita ~ ke negeri kita iniKamus Dewan Edisi Keempat[me.lim.pah]  Definisi :tumpah keluar kerana terlalu banyak atau terlalu penuh cecair dll: air yg di dlm tempayan itu terlalu banyak hingga ~ ~-ruah terlalu banyak keluar kerana terlalu penuhKamus Dewan Edisi Keempat[me.lim.pah]  Definisi :1 tumpah keluar kerana terlalu penuh bkn benda cair: Air ~ kerana kolah itu sudah terlalu penuh. 2  melimpah-limpah terlalu banyak hingga berlebih-lebih.Kamus Pelajar Edisi Kedua,-,-
yang,[yang]  Definisi :1. Lin kata penghubung utk menyatakan bahawa kata keterangan berikutnya dipentingkan atau menunjukkan kelainan: rumah ~ besar itu orang ~ sakit itu 2. Lin kata penghubung utk menyatakan bahawa katakata ayat berikutnya ialah penjelasan utk kata-kata sebelumnya: banyak orang ~ ingin bersalam dengannya 3. kata yg digunakan sbg kata penyerta kata yg menentukan kata benda kata sandang: ~ penting bagi kita ialah mengenai dasar ~ kaya sama kaya 4. sl adapun akan: ~ hutang tuan hamba sekati emas itu halallah dunia akhirat 5. bp kata peng-hubung utk menyatakan isi atau huraiankata ayat sebelumnya bahawa: mengertilah cikgu itu ~ pandangan itu bermaksud meminta nasihat Y~ Amat Arif rujukan kehormat utk Ketua Hakim Negara dlm situasi formal spt di mahkamah dsb Y~ Amat Berbahagia rujukan kehormat yg digunakan utk mereka yg bergelar Tun dan Toh Puan Y~ Amat Berhormat rujukan kehormat yg digunakan utk Perdana Menteri Timbalan Perdana Menteri dan Menteri Besar Y~ Amat Mulia rujukan kehormat yg digunakan utk Undang luak di Negeri Sembilan Y~ Arif rujukan kehormat yg digunakan utk Hakim pd situasi yg formal spt di mahkamah dsb Y~ Berbahagia rujukan kehormat yg digunakan utk mereka yg bergelar Tan Sri Puan Sri Datuk Seri Datin Seri Datuk Paduka Datin Paduka Dato Datuk dan Datin yg bukan wakil rakyat Y~ Berhormat rujukan kehormat yg digunakan utk Menteri Timbalan Menteri Yang Dipertua Dewan Negara Yang Dipertua Dewan Rakyat Yang Dipertua Dewan Negeri Ahli Dewan Rakyat Ahli Dewan Negara dan Ahli Dewan Undangan Negeri Y~ Berhormat Mulia rujukan kehormat yg digunakan utk Menteri Timbalan Menteri Yang Dipertua Dewan Negara Yang Dipertua Dewan Rakyat Yang Dipertua Dewan Negeri Ahli Dewan Rakyat Ahli Dewan Negara dan Ahli Dewan Undangan Negeri yg berketurunan raja Y~ Dipertua orang yg dilantik menjadi ketua sesuatu persatuan perkumpulan dll Y~ Dipertua Negeri gelaran utk ketua negeri bagi Melaka Pulau Pinang Sabah dan Sarawak Y~ Dipertuan gelaran utk raja yg memerintah sultan tuanku Y~ di-Pertuan Agong gelaran utk Ketua Negara Malaysia Y~ Maha Kuasa Tuhan Allah Y~ Maha Mulia rujukan kehormat utk sultan atau raja yg memerintah Y~ Mulia rujukan kehormat utk mereka yg bergelar Tengku Raja Syed Engku Ungku dan Datu Y~ Teramat Mulia rujukan kehormat utk keluarga diraja yg terdekat.Kamus Dewan Edisi Keempat[yang]  Definisi : yang-yang dewa beryang-yang membaca mantera memanggil dewa-dewa memuja dewa-dewa: maka tuan puteri pun mengambil gaharu cendana janggi dibakarnya sambil ~ Tuanku Malim Deman pun berangkatlah bersiram di dlm taman itu ~ mengamalkan sekalian ilmu hikmat kayangan tempat kediaman segala dewa keinderaan.Kamus Dewan Edisi Keempat[yang]  Definisi :1 kata utk mengasingkan sesuatu supaya jelas kelainannya: Telur ~ kecil di atas meja itu telur burung. 2 kata utk menentukan sesuatu sbg benda: ~ tinggi itu bangunan Parlimen. 3 kata yg menghubungkan benda dgn penerangnya: Rumah ~ baru dibelinya itu rumah batu. ~ Dipertua orang yg dilantik menjadi ketua sesuatu perkumpulan persatuan dll. ~ Dipertuan gelaran utk raja yg memerintah. ~ Maha Kuasa Tuhan Allah.Kamus Pelajar Edisi Kedua[yang]  Definisi :  yang-yang dewa. beryang-yang memuja dewa-dewa.Kamus Pelajar Edisi Kedua,-,-
dipaparkan,-,-,-
dalam,[da.lam]  Definisi :1. jarak jauhnya ke bawah atau ke dasar dr permukaan air tanah dsb jarak jauhnya ke tengah dr tepi atau pinggir sesuatu: ~ perigi itu kira-kira empat meter 2. jauh ke bawah atau ke dasar dr permukaan air tanah dll atau jauh ke tengah dr tepi atau pinggir hutan dll jauh jaraknya di antara paras permukaan dgn dasar tidak cetek: lubang itu ~ sungguh jangan suka berenang di tempat yg ~ 3. bukan sedikit tidak sempit lebih drpd sekadar yg perlu sahaja: dia mempunyai pengetahuan yg ~ tentang hal itu 4. mengandungi makna yg tidak mudah difahami bkn perkataan ungkapan dsb lebih drpd yg terzahir: perkataan ini ~ maknanya 5. tidak ceper leper jeluk bkn pinggan atau piring 6. bahagian atau ruang rumah bilik peti almari dll yg lawannya luar: diambilnya sepucuk surat dr ~ laci itu dan dihulurkannya kpd saya dia memasukkan bungkusan itu ke ~ keretanya 7. yg berkaitan dgn atau terbatas pd lingkungan sesuatu spt negeri keluarga dll itu sendiri: urusan ~ negeri masalah ~ keluarga 8. yg tidak nampak atau ketara dr luar: penyakit ~ 9. yg dipakai sebelum dipakai pakaian selengkapnya: baju ~ seluar ~ ~ berselam dangkal cetek berjingkat bertimba prb berpada dgn yg sedikit sedalam mencapai dalam atau sehingga dalamnya sebagaimana yg dinyatakan: digalinya lubang ~ kira-kira dua metersedalam-dalamnya 1. seberapa dalam yg mungkin: menggali ~ 2. dgn seberapa teliti atau terperinci: perlu difikirkan ~ cadangan yg dikemukakan itu sebelum dibuat sesuatu keputusanberdalam-dalam makin menjadi dalam merebak meluas dsb menjadi-jadi mendalam 1. menjadi dalam atau lebih dalam bkn lubang dsb bertambah dalam: lukanya semakin ~ kerana tidak dirawat dan dibubuh ubat 2. menjadi kukuh dan tidak mudah luput bkn perasaan kepercayaan terhadap sesuatu dll menjadi berat melarat bkn penyakit dll: perasaan cintanya terhadap Bibah semakin ~ kebencian yg ~ tradisi lama di kampungku terlalu ~ 3. sampai ke peringkat yg terperinci bkn kajian dsb luas dan teliti meliputi banyak aspek: kajiannya tentang sastera Melayu kurang ~mendalami memperdalami berusaha utk mengetahui sesuatu dgn lebih luas dan terperinci dgn mempelajari mengkaji menyelidik dsb dgn teliti dan terperinci menjadikan lebih sempurna atau terperinci pengetahuan dsb tentang sesuatu: mereka akan mengkaji lebih banyak buku dan kitab utk ~ pengetahuan mereka tentang agama Islam masing-masing ~ bidang yg diminatinyamendalamkan 1. menjadikan dalam atau lebih dalam perigi lubang dll: beberapa orang pekerja sedang ~ telaga 2.  memperdalam ki menjadikan lebih dalam pelajaran pengetahuan penyelidikan dsb: ia terus bekerja sambil ~ pengetahuannya tentang seni muzik perkembangan profesional memberi fokus kpd intelektualisme iaitu kpd memperdalam dan memperluas bidang pengetahuan dan kemahiran profesiondalaman 1. isi perut 2. yg tersembunyi dan tidak mudah difahami bkn makna ayat kata-kata dsb: kita seharusnya menyelami makna ~ kata-kata yg diucapkannya itu 3. yg berkaitan dgn atau perlu diuruskan dsb oleh sesuatu organisasi itu sendiri struktur ~ Lin dlm tatabahasa generatif gambaran yg diandaikan terdapat dlm struktur sesuatu ayat pd peringkat dasarnya hubungan gramatis atau hubungan logik dijelaskan sebelum struktur ayat tersebut mengalami perubahan kerana peraturan transformasikedalaman 1. perihal dalam budi bahasa pengetahuan pelajaran dll: kedangkalan dan ~ ilmu pengetahuan seseorang 2. ark terlalu dalampedalaman daerah yg jauh dr pantai yg terletak di ceruk pelosok atau di hulu negeri hulu: dia menjadi orang yg paling berpengaruh di daerah ~ penjahat-penjahat sedang bersembunyi di daerah ~pendalaman perihal mendalamkan tindakan proses dll mendalamkan.Kamus Dewan Edisi Keempat[da.lam]  Definisi :1. antara di kalangan: ~ mereka yg bertiga belas itu ada yg bergirang-girang 2. di dalam bukan di luar lingkungan dsb sesuatu: ~ Wilayah Persekutuan ~ bidang mata pelajaran tersebut 3. sambil: ~ kita berharap keadaan akan bertambah baik kita mesti juga beringat-ingat 4. pd waktu tertentu: kita berharap keadaan akan bertambah baik ~ tahun hadapan dia masih ~ pantang lagi ~ idah masa belum boleh berkahwin lain bagi perempuan yg baru menjadi janda ~ negeri dlm lingkungan sesebuah negeri itu sahaja ~ tangan dlm kekuasaan kemampuan milik seseorang sudah tentu dapat atau akan diperoleh ~ dua tengah tiga prb tidak jujur kilat di ~ kilau prb tujuan maksud yg terkandung dlm percakapan atau tingkah laku.Kamus Dewan Edisi Keempat[da.lam]  Definisi :sl istana kawasan istana raja bahasa ~ bahasa yg digunakan di kalangan raja atau golongan istana spt beradu santap dll budak ~ pesuruh raja kedalaman sl istana rumah-rumah dlm kawasan istana bahasa ~ bahasa kehormatan utk raja-raja.Kamus Dewan Edisi Keempat[da.lam]  Definisi :1 bahagian atau ruang di balik bahagian yg di luar: Rumah itu ~nya sangat bersih. 2 kedudukan sesuatu tempat yg terpisah oleh jarak tertentu dr tepi tengah: Semakin ke ~ dia pergi semakin banyak dia menemukan rotan yg baik-baik. 3 batin: Orang itu kelihatan baik tetapi ~nya siapa yg tahu. ~ talian ist 1 keadaan kelengkapan atau peranti komputer di bawah kawalan sistem utama komputer. 2 perihal bolehnya pengguna berinteraksi secara langsung dgn menggunakan komputer. ~ tangan sudah tentu dpt. dalaman 1 isi perut spt hempedal hati paru-paru. 2 berkaitan dgn sesuatu pihak organisasi itu sendiri: urusan ~. pedalaman daerah yg jauh di darat dr pantai atau dr bandar: Padi huma banyak ditanam di ~.Kamus Pelajar Edisi Kedua[da.lam]  Definisi :1 mengenai tentang berkenaan dgn: Dia memang pakar ~ hal itu. 2 selama masa tertentu pd waktu tertentu: ~ masa dua jam lagi ia akan sampai. 3 di kalangan di antara: ~ mereka yg ramai itu ada yg pandai bermain piano. 4 mengalami ditimpa: Para nelayan ~ keadaan susah.Kamus Pelajar Edisi Kedua[da.lam]  Definisi :1 jauh ke bawah dr permukaan: Perigi itu sangat ~. Lukanya agak ~. 2 ki penuh atau berisi ttg ilmu: Beruntunglah orang yg berguru dgn seseorang yg ~ ilmunya. 3 ki hingga ke lubuk hati ttg cinta penderitaan dll: Kasih ibu terhadap anaknya sangat ~. 4 tidak mudah difahami: Yg diperkatakannya itu mempunyai erti yg ~. mendalam 1 bertambah dalam menjadi dalam: Lukanya kian ~ kerana tidak diubati. 2 teliti sempurna luas dll: Pengetahuannya ttg sastera Melayu sungguh ~. 3 lebih melarat penyakit lebih dalam kuat kukuh bkn perasaan: Perasaan bencinya terhadap bangsa asing sungguh ~. mendalami berusaha supaya mengetahui memahami mengerti dgn teliti atau dalam: Beliau ingin ~ bidang pertanian. Dia mencuba ~ hati kawannya itu. mendalamkan 1 menjadikan dalam: Kuli itu sedang ~ parit di tepi jalan. 2 meluaskan atau mengkaji dgn teliti ttg sesuatu ilmu: Dia pergi ke London utk ~ pengetahuannya dlm bidang perubatan. memperdalam 1 menjadikan lebih dalam: Orang-orang kampung bergotong-royong ~ telaga itu. 2 berusaha supaya mengetahui memahami dgn lebih teliti: Dia ~ ilmu yg dipelajarinya itu. kedalaman keadaan dalam dalamnya: Kepekatan karbon dioksida bertambah mengikut ~ tanah. Drpd pertuturannya kita dpt mengetahui ~ ilmu pengetahuannya. pendalaman perbuatan usaha dsb mendalami atau mendalamkan.Kamus Pelajar Edisi Kedua,-,-
hantaran,[han.ta.ran]  Definisi :1. sesuatu yg dihantar dikirim kiriman: petani-petani sambilan ini mungkin mendapat ~ drpd anak dan ahli keluarga yg melakukan migrasi 2.  ~ kahwin  wang ~ wang yg dihantar oleh pihak lelaki kpd bakal mentua utk perbelanjaan perkahwinan belanja hangus 3. dlm majlis perkahwinan orang Melayu hadiah berupa makanan pakaian dsb yg dibawa bersama wang hantaran: pihak pengantin lelaki membawa tujuh dulang ~ 4. dlm permainan bola sepak dll tendangan balingan dsb bola ke sesuatu tempat atau kpd pemain lain: ~nya tidak sampai kpd kawannyaKamus Dewan Edisi Keempat[han.ta.ran]  Definisi :1 sesuatu yg dihantar kiriman. 2  wang ~ wang yg dihantar oleh pihak pengantin lelaki kpd pihak pengantin perempuan. 3 barang-barang spt pakaian makanan yg berupa hadiah yg dibawa bersama wang hantaran oleh pihak pengantin lelaki utk pengantin perempuan.Kamus Pelajar Edisi Kedua,-,-
di,-,-,-
laman,[la.man]  Definisi :bp kep halaman: jamuan ~ ~ web dokumen elektronik pd paparan skrin komputer biasanya mengandungi teks grafik imej bunyi dsb tentang sesuatu institusi organisasi persatuan individu dsb yg dapat dicapai melalui Internet.Kamus Dewan Edisi Keempat[la.man]  Definisi :halaman. ~ web dokumen elektronik pd paparan skrin komputer biasanya mengandungi teks grafik imej bunyi dsb ttg sesuatu institusi organisasi persatuan individu dsb yg dpt dicapai melalui Internet.Kamus Pelajar Edisi Kedua,-,-
facebook,-,-,-
beliau,[be.liau]  Definisi :kata ganti diri ketiga utk orang tua atau orang yg dihormati: mentuaku seorang pendiam ~ tidak suka anak-anaknya terlampau banyak bercakap.Kamus Dewan Edisi Keempat[be.liau]  Definisi :kata ganti nama diri ketiga utk orang yg lebih tua atau yg dihormati: Pak cik saya berpangkat besar tetapi ~ tidak sombong.Kamus Pelajar Edisi Kedua,-,-
pada,Definisi :1. kata sendi nama yg bererti di: ~ bulan Januari dlm ~ itu sementara sambil itu 2. kata sendi nama yg bererti terhadap: Bang Uda marah tak ~ Ida 3. dalam menurut mengikut: ~ fikirannya ~ hatinya ~ sangkanya 4. buat bagi: ~nya dunia ini bukan tempat mencari kesusahan 5. sl akan untuk: bab ~ menyatakan 6. dari daripada: ~ bercerai mahulah mati ~ jadi Komunis biarlah dia mati.Kamus Dewan Edisi KeempatDefinisi :1. tidak kurang dan tidak lebih cukup: kaum kita hidup ~ dgn sesuap nasi 2. berasa puas senang berasa cukup: hatinya belum ~ asal ada kecil pun ~ prb asalkan ada tidak banyak sedikit pun cukuplah berpada mencukupi: dlm keadaan serba sederhana dan ~ berpada-pada 1. elok-elok cukup tidak berlebih-lebihan: amatlah sukar hendak menentukan sama ada sesuatu perbuatan itu ~ atau melebihi batasan-batasan yg dihadkan 2. agak cukup walaupun tidak banyak lumayan sedang memadai mencukupi dapat mengisi atau memenuhi kehendak peraturan dll: rang undang-undang ini ~lah diluluskan oleh Dewan Rakyat makanan semata-mata tidak ~ memada-memadai membuat seelok-elok cukup sahaja memadakan 1. menjadikan pada menganggap pada: apabila malam dipadakanlah tidur bertikar 2. membiarkan mendiamkan: orang tua mahulah sabar dan ~ kelakuan orang muda 3. menjadikan puas memuaskan: ~ hati terpada tak ~ tidak boleh ditandingi terlalu sangat.Kamus Dewan Edisi KeempatDefinisi :sama-sama ramai-ramai melakukan sesuatu: ibu-ibu itu ~ duduk mengobrol mereka ~ berebut minta makanan burung-burung sudah ~ resah menunggu.Kamus Dewan Edisi KeempatDefinisi :1 kata nama arah yg menunjukkan tempat atau diri seseorang: Buku itu masih ada ~ saya. 2 kata sendi nama yg digunakan utk menunjukkan waktu atau utk menunjukkan kata nama abstrak dlm pembentukan frasa atau ayat: ~ masa ini ~ pendapatnya perkara itu mudah saja. dlm ~ itu sementara itu dlm hal itu. 3 kata sendi nama utk menunjukkan tempat yg terhad: Terdapat tahi lalat ~ pipinya.Kamus Pelajar Edisi KeduaDefinisi :1 tidak kurang dan juga tidak lebih drpd yg patut cukup: Asal ada kecil pun ~. 2 berasa senang kerana sudah sampai hajatnya puas: Dgn harta yg sebanyak itu hatinya masih belum ~ juga. berpada-pada 1 tidak berlebih-lebihan melakukan sesuatu berbuat sesuatu dgn seada-adanya: Buat baik ~ buat jahat jangan sekali. 2 cukup juga walaupun tidak banyak. memadai dpt mengisi atau dpt memenuhi kehendak dll mencukupi: Segelen minyak petrol tidak ~ keperluan utk menghidupkan enjin kapal terbang yg besar. memadakan 1 menjadikan pada menganggap cukup mencukupkan: Dia ~ gajinya yg kecil itu dgn berjimat-jimat. 2 menjadikan puas memuaskan: Dia berbuat begitu utk ~ hatinya.Kamus Pelajar Edisi Kedua,-,-
